distance_m,soil_moisture_content_pct
72.08,3.181087167
72.22,3.32201337
72.36,3.172939573
72.50,3.023865776
72.64,3.084791979
72.78,3.475718182
72.92,2.866644385
73.06,2.477570588
73.19,2.648496791
73.33,2.259422994
73.47,3.020349197
73.61,3.7712754
73.75,3.812201603
73.89,3.313127806
74.03,3.684054009
74.17,3.164980212
74.31,3.075906415
74.44,3.276832618
74.58,3.057758822
74.72,3.498685025
74.86,3.539611228
75.00,3.240537431
75.14,3.861463634
75.28,3.542389837
75.42,2.40331604
75.56,3.424242243
75.69,2.875168446
75.83,3.726094649
75.97,3.377020852
76.11,3.087947055
76.25,2.638873258
76.39,2.479799461
76.53,2.550725664
76.67,3.351651867
76.81,3.18257807
76.94,2.883504273
77.08,2.984430476
77.22,3.255356679
77.36,4.556282882
77.50,5.447209085
77.64,5.628135288
77.78,5.009061491
77.92,3.229987694
78.06,2.340913898
78.19,1.971840101
78.33,3.392766304
78.47,3.793692507
78.61,6.75461871
78.75,6.095544913
78.89,3.726471116
79.03,3.107397319
79.17,2.778323522
79.31,3.449249725
79.44,3.410175928
79.58,3.111102131
79.72,3.152028334
79.86,3.762954537
80.00,4.08388074
80.14,4.254806943
80.28,4.595733146
80.42,4.466659349
80.56,4.807585552
80.69,4.578511755
80.83,4.649437958
80.97,4.350364161
81.11,3.711290364
81.25,3.152216567
81.39,3.583142771
81.53,3.274068974
81.67,3.544995177
81.81,4.17592138
81.94,3.486847583
82.08,3.717773786
82.22,3.508699989
82.36,3.369626192
82.50,2.870552395
82.64,3.291478598
82.78,4.212404801
82.92,4.903331004
83.06,4.484257207
83.19,3.70518341
83.33,3.646109613
83.47,2.927035816
83.61,3.227962019
83.75,3.768888222
83.89,3.709814425
84.03,4.150740628
84.17,4.671666831
84.31,4.322593034
84.44,3.913519237
84.58,3.61444544
84.72,3.885371644
84.86,3.796297847
85.00,3.97722405
85.14,3.668150253
85.28,3.929076456
85.42,3.350002659
85.56,3.110928862
85.69,3.261855065
85.83,2.612781268
85.97,2.783707471
86.11,2.914633674
86.25,2.815559877
86.39,2.89648608
86.53,2.827412283
86.67,2.848338486
86.81,2.809264689
86.94,2.570190892
87.08,2.491117095
87.22,2.602043298
87.36,2.662969501
87.50,2.923895704
87.64,3.124821907
87.78,3.75574811
87.92,3.836674313
88.06,3.687600517
88.19,3.34852672
88.33,3.429452923
88.47,3.350379126
88.61,3.591305329
88.75,3.782231532
88.89,4.073157735
89.03,3.244083938
89.17,3.015010141
89.31,2.815936344
89.44,2.836862547
89.58,3.13778875
89.72,3.178714953
89.86,3.549641156
90.00,3.880567359
90.14,2.811493562
90.28,2.832419765
90.42,3.463345968
